Type,SKU,Name,Published,Categories,Short description,Description,Tax status,In stock?,Stock,Regular price,Sale price,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Images
simple,STYLUS-001,Surface Pen,1,"Accessories","Precision input for Surface","Tilt support, 4096 pressure levels, and virtually no lag. Attaches magnetically to compatible Surface devices. Includes replaceable tip.",taxable,1,,99.99,,0.1,6,0.4,0.4,1,
simple,CHARGER-001,65W GaN USB-C Charger,1,"Accessories,Cables & Adapters","Fast charging with GaN tech","Gallium Nitride (GaN) technology in a compact design. Charges laptops, tablets & phones. Includes 2m USB-C cable.",taxable,1,,49.99,44.99,0.3,2.5,2.5,1.2,1,
simple,CHARGER-002,100W Dual USB-C Wall Charger,1,"Accessories,Cables & Adapters","Charge two devices simultaneously","100W total output with intelligent power distribution. Supports PD 3.0, QC 4+, and PPS. Foldable prongs for travel.",taxable,1,,69.99,,0.4,3,3,1.3,1,
simple,BATTERY-001,"20,000mAh Power Bank",1,"Accessories","All-day portable power","20,000mAh capacity with 65W USB-C PD output. Includes digital display showing remaining battery percentage. TSA-approved for flights.",taxable,1,,79.99,69.99,1.1,6,3,1,1,
simple,SMARTHOME-001,Smart LED Light Bulbs (4-Pack),1,"Smart Home","Voice-controlled lighting","Wi-Fi enabled color-changing LED bulbs. Works with Alexa, Google Assistant & HomeKit. No hub required. 16 million colors.",taxable,1,,49.99,44.99,0.8,5,5,7,1,
simple,SMARTHOME-002,Smart Plug Mini (2-Pack),1,"Smart Home","Control devices remotely","Compact smart plugs with energy monitoring. Schedule on/off times, works with Alexa & Google Assistant. Measures power consumption in kWh.",taxable,1,,24.99,19.99,0.2,3,2,2,1,
simple,SMARTHOME-003,Smart Thermostat,1,"Smart Home","Save energy automatically","Learning thermostat with auto-schedule, remote control via app, and energy usage reports. Works with most HVAC systems.",taxable,1,,249.99,229.99,0.8,3.3,3.3,1.2,1,
simple,ROUTER-001,Wi-Fi 6E Mesh Router (3-Pack),1,"Networking","Whole home coverage","Tri-band Wi-Fi 6E mesh system covering up to 6,000 sq ft. Includes 2.5Gbps WAN port, 4x Gigabit LAN, and USB 3.0. Setup via mobile app.",taxable,1,,599.99,549.99,3.5,9,9,3,1,
simple,SWITCH-001,8-Port Gigabit Ethernet Switch,1,"Networking","Expand your network","Unmanaged 8-port Gigabit switch with auto-negotiation and auto MDI/MDIX. Fanless design for silent operation. Metal housing.",taxable,1,,39.99,,0.8,7,4,1,1,
simple,NAS-001,2-Bay NAS (Diskless),1,"Storage","Your personal cloud","Dual-bay network attached storage with quad-core processor, 2GB RAM (expandable to 6GB), and dual Gigabit Ethernet. RAID 0/1 support.",taxable,1,,299.99,279.99,3.2,7,4,9,1,
simple,SSD-001,"1TB NVMe SSD (PCIe 4.0)",1,"Storage","Blazing-fast storage","M.2 2280 NVMe SSD with read speeds up to 7,000 MB/s and write speeds up to 5,000 MB/s. Includes heatsink for thermal management.",taxable,1,,149.99,129.99,0.02,3.2,0.9,0.1,1,
simple,SSD-002,2TB Portable SSD (USB 3.2),1,"Storage","Fast external storage","Rugged portable SSD with IP65 water/dust resistance. Read speeds up to 1,050 MB/s. Includes USB-C and USB-A cables.",taxable,1,,249.99,229.99,0.3,4,2,0.4,1,
simple,BACKPACK-001,Tech Backpack with USB Port,1,"Accessories","Carry your gear safely","Water-resistant backpack with dedicated laptop compartment (up to 17""), external USB charging port, and anti-theft hidden zipper.",taxable,1,,69.99,59.99,2,18,12,7,1,
simple,STAND-001,Aluminum Laptop Stand,1,"Accessories","Ergonomic desk setup","Adjustable aluminum laptop stand with heat dissipation design. Supports laptops 10-17"". Includes cable management slots.",taxable,1,,49.99,44.99,1.8,10,9,6,1,
simple,LIGHT-001,LED Desk Lamp with Wireless Charging,1,"Accessories","Multi-functional lighting","Adjustable LED desk lamp with 10W wireless charging pad, USB-A port, and touch controls. 5 brightness levels & 3 color temperatures.",taxable,1,,79.99,69.99,1.5,17,7,3,1,
simple,CLEANER-001,Screen Cleaning Kit,1,"Accessories","Keep displays spotless","Microfiber cloths, cleaning solution spray, and dust blower. Safe for LCD, LED, OLED screens, laptops & glasses. Streak-free formula.",taxable,1,,19.99,,0.5,8,4,2,1,
simple,CABLE-004,"DisplayPort 1.4 Cable (6ft)",1,"Cables & Adapters","High refresh rate displays","DisplayPort 1.4 cable supporting 8K@60Hz, 4K@144Hz, and HDR. Perfect for gaming monitors and professional displays. Gold-plated connectors.",taxable,1,,24.99,19.99,0.3,6.5,5,1,1,
simple,ADAPTER-001,USB-C to HDMI Adapter (4K@60Hz),1,"Cables & Adapters","Mirror or extend displays","Plug-and-play USB-C to HDMI adapter supporting 4K@60Hz. Compatible with MacBook, Chromebook, and Windows laptops with USB-C/Thunderbolt 3.",taxable,1,,29.99,,0.1,3,2,0.5,1,
simple,GAMEPAD-001,Wireless Controller for PC & Mobile,1,"Gaming","Universal gaming controller","Bluetooth controller with 40-hour battery, Hall effect joysticks (no drift), and customizable back buttons. Works with PC, Android, iOS.",taxable,1,,69.99,59.99,0.5,6,4,2,1,
simple,SPEAKER-001,Bluetooth Speaker (Waterproof),1,"Accessories","Music anywhere","IPX7 waterproof Bluetooth 5.0 speaker with 360° sound, 20-hour battery, and built-in power bank. Includes aux input & microSD slot.",taxable,1,,89.99,79.99,1.3,8,3,3,1,
simple,RING-001,Smartphone Ring Light,1,"Accessories","Perfect lighting for video calls","10"" LED ring light with adjustable brightness, 3 color modes, and phone holder. USB-powered with desktop tripod stand.",taxable,1,,34.99,29.99,1.2,11,11,3,1,
simple,GPU-001,"RTX 4070 Graphics Card",1,"Gaming,PC Components","High-performance gaming GPU","NVIDIA GeForce RTX 4070 with 12GB GDDR6X, ray tracing, DLSS 3, and PCIe 4.0. Triple-fan cooling design. Requires 650W PSU minimum.",taxable,1,,599.99,,,2.5,12,5.5,2.5,1,
simple,RAM-001,32GB DDR5 RAM Kit (2x16GB),1,"PC Components","High-speed memory","DDR5-5600 CL36 32GB kit with RGB lighting. Intel XMP 3.0 certified. Aluminum heatspreader for optimal thermal performance.",taxable,1,,159.99,149.99,0.2,5.5,1.5,0.2,1,
simple,PSU-001,850W Modular Power Supply,1,"PC Components","80 PLUS Gold certified","Fully modular 850W PSU with 80 PLUS Gold efficiency, silent fan mode, and 10-year warranty. Includes premium sleeved cables.",taxable,1,,149.99,139.99,4,6.5,6,3.5,1,
simple,CASE-001,Mid-Tower ATX Case,1,"PC Components","Showcase your build","Tempered glass mid-tower with excellent airflow, USB-C front panel, and support for 360mm radiators. Includes 3x RGB fans.",taxable,1,,129.99,119.99,18,19,9,18,1,
simple,COOLER-001,240mm AIO Liquid Cooler,1,"PC Components","Keep your CPU cool","240mm all-in-one liquid cooler with RGB pump head and fans. Supports Intel LGA1700/1200 and AMD AM5/AM4. Low-noise operation.",taxable,1,,119.99,109.99,2.8,11,5,3,1,
simple,FAN-001,120mm RGB Case Fans (3-Pack),1,"PC Components","Enhance airflow & aesthetics","PWM-controlled 120mm fans with addressable RGB. Includes controller and daisy-chain cables. Quiet operation up to 1500 RPM.",taxable,1,,44.99,39.99,0.9,5,5,1.2,1,
simple,THERMAL-001,Thermal Paste (High Performance),1,"PC Components","Better heat transfer","Premium thermal compound with >10 W/mK thermal conductivity. Non-conductive and non-capacitive. Includes application spatula.",taxable,1,,12.99,,0.05,4,1,0.5,1,
simple,TOOL-001,PC Building Toolkit,1,"PC Components,Accessories","Everything for PC assembly","Magnetic screwdriver set, anti-static wrist strap, cable ties, thermal paste applicator, and parts organizer. Comes in zippered case.",taxable,1,,39.99,34.99,1.5,10,7,2,1,
simple,TABLET-002,Android Tablet 11"",1,"Tablets","Entertainment & productivity","11-inch 2K display, Snapdragon processor, 6GB RAM, 128GB storage (expandable). Includes stylus and keyboard case.",taxable,1,,449.99,399.99,1.1,10,7,0.3,1,
simple,EREADER-001,E-Reader with Warm Light,1,"Accessories","Read without eye strain","7-inch 300 PPI glare-free display with adjustable warm light. Waterproof (IPX8), 32GB storage for thousands of books. Weeks of battery life.",taxable,1,,189.99,169.99,0.4,6.3,4.4,0.3,1,
